Entidad,Municipio,Cluster
aguascalientes,aguascalientes,40
aguascalientes,asientos,21
aguascalientes,calvillo,42
aguascalientes,cosio,28
aguascalientes,el llano,2
aguascalientes,jesus maria,35
aguascalientes,pabellon de arteaga,42
aguascalientes,rincon de romos,42
aguascalientes,san francisco de los romo,42
aguascalientes,san jose de gracia,28
aguascalientes,tepezala,13
baja california,ensenada,41
baja california,mexicali,49
baja california,playas de rosarito,48
baja california,tecate,4
baja california,tijuana,29
baja california sur,comondu,14
baja california sur,la paz,34
baja california sur,loreto,26
baja california sur,los cabos,34
baja california sur,mulege,14
campeche,calakmul,2
campeche,calkini,21
campeche,campeche,17
campeche,candelaria,42
campeche,carmen,6
campeche,champoton,14
campeche,escarcega,14
campeche,hecelchakan,19
campeche,hopelchen,2
campeche,palizada,28
chiapas,acacoyagua,19
chiapas,acala,2
chiapas,acapetahua,2
chiapas,aldama,0
chiapas,altamirano,2
chiapas,amatenango de la frontera,2
chiapas,amatenango del valle,0
chiapas,amatan,2
chiapas,angel albino corzo,19
chiapas,arriaga,37
chiapas,bella vista,0
chiapas,benemerito de las americas,19
chiapas,berriozabal,42
chiapas,bochil,19
chiapas,cacahoatan,42
chiapas,catazaja,28
chiapas,chalchihuitan,0
chiapas,chapultenango,0
chiapas,chenalho,2
chiapas,chiapa de corzo,35
chiapas,chiapilla,0
chiapas,chicoasen,28
chiapas,chicomuselo,2
chiapas,chilon,2
chiapas,cintalapa,10
chiapas,coapilla,0
chiapas,comitan de dominguez,43
chiapas,copainala,19
chiapas,el bosque,2
chiapas,el porvenir,0
chiapas,escuintla,19
chiapas,frontera comalapa,10
chiapas,frontera hidalgo,0
chiapas,huehuetan,19
chiapas,huixtla,14
chiapas,huixtan,0
chiapas,ixhuatan,0
chiapas,ixtacomitan,0
chiapas,ixtapa,2
chiapas,jiquipilas,2
chiapas,jitotol,2
chiapas,juarez,19
chiapas,la concordia,21
chiapas,la grandeza,0
chiapas,la independencia,2
chiapas,la libertad,0
chiapas,la trinitaria,21
chiapas,larrainzar,2
chiapas,las margaritas,35
chiapas,las rosas,19
chiapas,mapastepec,21
chiapas,maravilla tenejapa,0
chiapas,mazapa de madero,0
chiapas,mazatan,19
chiapas,metapa,0
chiapas,montecristo de guerrero,0
chiapas,motozintla,10
chiapas,nicolas ruiz,0
chiapas,ocosingo,10
chiapas,ocotepec,0
chiapas,ocozocoautla de espinosa,10
chiapas,ostuacan,0
chiapas,osumacinta,0
chiapas,oxchuc,2
chiapas,palenque,35
chiapas,pantelho,2
chiapas,pantepec,0
chiapas,pichucalco,37
chiapas,pijijiapan,42
chiapas,pueblo nuevo solistahuacan,2
chiapas,rayon,0
chiapas,reforma,37
chiapas,sabanilla,2
chiapas,salto de agua,21
chiapas,san cristobal de las casas,6
chiapas,san fernando,2
chiapas,san juan cancuc,2
chiapas,san lucas,0
chiapas,siltepec,2
chiapas,simojovel,21
chiapas,sitala,0
chiapas,socoltenango,2
chiapas,solosuchiapa,0
chiapas,soyalo,0
chiapas,suchiapa,19
chiapas,suchiate,37
chiapas,tapachula,17
chiapas,tapalapa,0
chiapas,tapilula,13
chiapas,tecpatan,2
chiapas,tenejapa,2
chiapas,teopisca,21
chiapas,tila,21
chiapas,tonala,10
chiapas,totolapa,0
chiapas,tumbala,2
chiapas,tuxtla chico,19
chiapas,tuxtla gutierrez,46
chiapas,tuzantan,2
chiapas,tzimol,0
chiapas,union juarez,0
chiapas,venustiano carranza,10
chiapas,villa comaltitlan,2
chiapas,villa corzo,10
chiapas,villaflores,4
chiapas,yajalon,42
chiapas,zinacantan,2
chihuahua,ahumada,32
chihuahua,aldama,13
chihuahua,allende,28
chihuahua,aquiles serdan,19
chihuahua,ascension,37
chihuahua,bachiniva,28
chihuahua,balleza,28
chihuahua,bocoyna,37
chihuahua,buenaventura,13
chihuahua,camargo,14
chihuahua,carichi,0
chihuahua,casas grandes,0
chihuahua,chihuahua,5
chihuahua,chinipas,0
chihuahua,coronado,0
chihuahua,cuauhtemoc,20
chihuahua,delicias,20
chihuahua,el tule,32
chihuahua,guachochi,42
chihuahua,guadalupe,0
chihuahua,guadalupe y calvo,2
chihuahua,guazapares,28
chihuahua,guerrero,21
chihuahua,gomez farias,32
chihuahua,hidalgo del parral,48
chihuahua,janos,28
chihuahua,jimenez,11
chihuahua,julimes,0
chihuahua,juarez,16
chihuahua,la cruz,28
chihuahua,lopez,28
chihuahua,madera,13
chihuahua,maguarichi,0
chihuahua,matachi,0
chihuahua,matamoros,0
chihuahua,meoqui,42
chihuahua,namiquipa,13
chihuahua,nuevo casas grandes,14
chihuahua,ocampo,0
chihuahua,ojinaga,37
chihuahua,praxedis g. guerrero,28
chihuahua,rosales,0
chihuahua,san francisco del oro,28
chihuahua,santa barbara,28
chihuahua,santa isabel,28
chihuahua,satevo,0
chihuahua,saucillo,13
chihuahua,valle de zaragoza,32
ciudad de mexico,azcapotzalco,45
ciudad de mexico,benito juarez,24
ciudad de mexico,coyoacan,1
ciudad de mexico,cuajimalpa de morelos,11
ciudad de mexico,cuauhtemoc,15
ciudad de mexico,gustavo a. madero,18
ciudad de mexico,iztacalco,36
ciudad de mexico,iztapalapa,3
ciudad de mexico,la magdalena contreras,22
ciudad de mexico,miguel hidalgo,24
ciudad de mexico,milpa alta,10
ciudad de mexico,tlalpan,46
ciudad de mexico,tlahuac,36
ciudad de mexico,venustiano carranza,8
ciudad de mexico,xochimilco,36
ciudad de mexico,alvaro obregon,27
coahuila de zaragoza,abasolo,0
coahuila de zaragoza,acuna,14
coahuila de zaragoza,allende,37
coahuila de zaragoza,arteaga,37
coahuila de zaragoza,castanos,13
coahuila de zaragoza,cuatro cienegas,32
coahuila de zaragoza,francisco i. madero,42
coahuila de zaragoza,frontera,35
coahuila de zaragoza,general cepeda,0
coahuila de zaragoza,hidalgo,0
coahuila de zaragoza,jimenez,0
coahuila de zaragoza,juarez,0
coahuila de zaragoza,lamadrid,28
coahuila de zaragoza,matamoros,35
coahuila de zaragoza,monclova,6
coahuila de zaragoza,morelos,32
coahuila de zaragoza,muzquiz,14
coahuila de zaragoza,nadadores,0
coahuila de zaragoza,nava,37
coahuila de zaragoza,ocampo,0
coahuila de zaragoza,parras,37
coahuila de zaragoza,piedras negras,20
coahuila de zaragoza,ramos arizpe,35
coahuila de zaragoza,sabinas,14
coahuila de zaragoza,saltillo,27
coahuila de zaragoza,san buenaventura,13
coahuila de zaragoza,san juan de sabinas,26
coahuila de zaragoza,san pedro,35
coahuila de zaragoza,sierra mojada,28
coahuila de zaragoza,torreon,1
coahuila de zaragoza,viesca,0
coahuila de zaragoza,villa union,28
coahuila de zaragoza,zaragoza,28
colima,armeria,19
colima,colima,6
colima,comala,19
colima,cuauhtemoc,13
colima,ixtlahuacan,0
colima,manzanillo,20
colima,minatitlan,28
colima,tecoman,4
colima,villa de alvarez,10
durango,canatlan,19
durango,cuencame,19
durango,durango,46
durango,el oro,28
durango,general simon bolivar,0
durango,guadalupe victoria,37
durango,guanacevi,28
durango,gomez palacio,17
durango,lerdo,10
durango,mapimi,19
durango,mezquital,2
durango,nazas,0
durango,nombre de dios,19
durango,nuevo ideal,13
durango,ocampo,0
durango,otaez,0
durango,penon blanco,28
durango,poanas,19
durango,pueblo nuevo,42
durango,panuco de coronado,28
durango,rodeo,28
durango,san dimas,0
durango,san juan de guadalupe,0
durango,san juan del rio,28
durango,santa clara,0
durango,santiago papasquiaro,42
durango,suchil,28
durango,tamazula,2
